Degree,HSV_Hue Mean,HSV_Hue Std,Hue Std,B Mean,A Mean,Contrast,Homogeneity,Y Std,A Std,Correlation
1,0.74,0.41,0.15,0.58,0.62,0.18,0.53,0.37,0.11,0.96
1,0.74,0.41,0.15,0.58,0.62,0.18,0.53,0.37,0.11,0.96
1,0.74,0.41,0.15,0.58,0.62,0.18,0.53,0.37,0.11,0.96
1,0.92,0.2,0.12,0.46,0.67,0.13,0.48,0.27,0.13,0.93
1,0.92,0.2,0.12,0.46,0.67,0.13,0.48,0.27,0.13,0.93
1,0.92,0.2,0.12,0.46,0.67,0.13,0.48,0.27,0.13,0.93
1,0.92,0.2,0.12,0.46,0.67,0.13,0.48,0.27,0.13,0.93
1,0.92,0.2,0.12,0.46,0.67,0.13,0.48,0.27,0.13,0.93
1,0.92,0.2,0.12,0.46,0.67,0.13,0.48,0.27,0.13,0.93
1,0.92,0.2,0.12,0.46,0.67,0.13,0.48,0.27,0.13,0.93
1,0.92,0.2,0.12,0.46,0.67,0.13,0.48,0.27,0.13,0.93
1,0.92,0.2,0.12,0.46,0.67,0.13,0.48,0.27,0.13,0.93
1,0.92,0.2,0.12,0.46,0.67,0.13,0.48,0.27,0.13,0.93
1,0.92,0.2,0.12,0.46,0.67,0.13,0.48,0.27,0.13,0.93
1,0.92,0.2,0.12,0.46,0.67,0.13,0.48,0.27,0.13,0.93
1,0.1,0.29,0.18,0.58,0.5,0.06,0.64,0.32,0.18,0.96
1,0.1,0.29,0.18,0.58,0.5,0.06,0.64,0.32,0.18,0.96
1,0.1,0.29,0.18,0.58,0.5,0.06,0.64,0.32,0.18,0.96
1,0.1,0.29,0.18,0.58,0.5,0.06,0.64,0.32,0.18,0.96
1,0.1,0.29,0.18,0.58,0.5,0.06,0.64,0.32,0.18,0.96
1,0.1,0.29,0.18,0.58,0.5,0.06,0.64,0.32,0.18,0.96
1,0.1,0.29,0.18,0.58,0.5,0.06,0.64,0.32,0.18,0.96
1,0.1,0.29,0.18,0.58,0.5,0.06,0.64,0.32,0.18,0.96
1,0.1,0.29,0.18,0.58,0.5,0.06,0.64,0.32,0.18,0.96
1,0.1,0.29,0.18,0.58,0.5,0.06,0.64,0.32,0.18,0.96
1,0.1,0.29,0.18,0.58,0.5,0.06,0.64,0.32,0.18,0.96
1,0.1,0.29,0.18,0.58,0.5,0.06,0.64,0.32,0.18,0.96
1,0.78,0.41,0.09,0.64,0.78,0.08,0.75,0.41,0.09,0.98
1,0.78,0.41,0.09,0.64,0.78,0.08,0.75,0.41,0.09,0.98
1,0.78,0.41,0.09,0.64,0.78,0.08,0.75,0.41,0.09,0.98
1,0.78,0.41,0.09,0.64,0.78,0.08,0.75,0.41,0.09,0.98
1,0.78,0.41,0.09,0.64,0.78,0.08,0.75,0.41,0.09,0.98
1,0.78,0.41,0.09,0.64,0.78,0.08,0.75,0.41,0.09,0.98
1,0.78,0.41,0.09,0.64,0.78,0.08,0.75,0.41,0.09,0.98
1,0.78,0.41,0.09,0.64,0.78,0.08,0.75,0.41,0.09,0.98
1,0.78,0.41,0.09,0.64,0.78,0.08,0.75,0.41,0.09,0.98
1,0.78,0.41,0.09,0.64,0.78,0.08,0.75,0.41,0.09,0.98
1,0.78,0.41,0.09,0.64,0.78,0.08,0.75,0.41,0.09,0.98
1,0.78,0.41,0.09,0.64,0.78,0.08,0.75,0.41,0.09,0.98
1,0.03,0.05,0.16,0.67,0.68,0.28,0.65,0.26,0.14,0.8
1,0.03,0.05,0.16,0.67,0.68,0.28,0.65,0.26,0.14,0.8
1,0.03,0.05,0.16,0.67,0.68,0.28,0.65,0.26,0.14,0.8
1,0.03,0.05,0.16,0.67,0.68,0.28,0.65,0.26,0.14,0.8
1,0.03,0.05,0.16,0.67,0.68,0.28,0.65,0.26,0.14,0.8
1,0.03,0.05,0.16,0.67,0.68,0.28,0.65,0.26,0.14,0.8
1,0.03,0.05,0.16,0.67,0.68,0.28,0.65,0.26,0.14,0.8
1,0.03,0.05,0.16,0.67,0.68,0.28,0.65,0.26,0.14,0.8
1,0.03,0.05,0.16,0.67,0.68,0.28,0.65,0.26,0.14,0.8
1,0.03,0.05,0.16,0.67,0.68,0.28,0.65,0.26,0.14,0.8
1,0.03,0.05,0.16,0.67,0.68,0.28,0.65,0.26,0.14,0.8
1,0.03,0.05,0.16,0.67,0.68,0.28,0.65,0.26,0.14,0.8
1,0.62,0.18,0.18,0.63,0.36,0.04,0.77,0.21,0.17,0.95
1,0.62,0.18,0.18,0.63,0.36,0.04,0.77,0.21,0.17,0.95
1,0.62,0.18,0.18,0.63,0.36,0.04,0.77,0.21,0.17,0.95
1,0.62,0.18,0.18,0.63,0.36,0.04,0.77,0.21,0.17,0.95
1,0.62,0.18,0.18,0.63,0.36,0.04,0.77,0.21,0.17,0.95
1,0.62,0.18,0.18,0.63,0.36,0.04,0.77,0.21,0.17,0.95
1,0.62,0.18,0.18,0.63,0.36,0.04,0.77,0.21,0.17,0.95
1,0.62,0.18,0.18,0.63,0.36,0.04,0.77,0.21,0.17,0.95
1,0.62,0.18,0.18,0.63,0.36,0.04,0.77,0.21,0.17,0.95
1,0.62,0.18,0.18,0.63,0.36,0.04,0.77,0.21,0.17,0.95
1,0.62,0.18,0.18,0.63,0.36,0.04,0.77,0.21,0.17,0.95
1,0.62,0.18,0.18,0.63,0.36,0.04,0.77,0.21,0.17,0.95
1,0.06,0.22,0.09,0.71,0.78,0.21,0.47,0.3,0.09,0.9
1,0.06,0.22,0.09,0.71,0.78,0.21,0.47,0.3,0.09,0.9
1,0.06,0.22,0.09,0.71,0.78,0.21,0.47,0.3,0.09,0.9
1,0.06,0.22,0.09,0.71,0.78,0.21,0.47,0.3,0.09,0.9
1,0.06,0.22,0.09,0.71,0.78,0.21,0.47,0.3,0.09,0.9
1,0.06,0.22,0.09,0.71,0.78,0.21,0.47,0.3,0.09,0.9
1,0.06,0.22,0.09,0.71,0.78,0.21,0.47,0.3,0.09,0.9
1,0.06,0.22,0.09,0.71,0.78,0.21,0.47,0.3,0.09,0.9
1,0.06,0.22,0.09,0.71,0.78,0.21,0.47,0.3,0.09,0.9
1,0.06,0.22,0.09,0.71,0.78,0.21,0.47,0.3,0.09,0.9
1,0.06,0.22,0.09,0.71,0.78,0.21,0.47,0.3,0.09,0.9
1,0.06,0.22,0.09,0.71,0.78,0.21,0.47,0.3,0.09,0.9
1,0.03,0.01,0.1,0.65,0.52,0.03,0.69,0.38,0.16,0.99
1,0.03,0.01,0.1,0.65,0.52,0.03,0.69,0.38,0.16,0.99
1,0.03,0.01,0.1,0.65,0.52,0.03,0.69,0.38,0.16,0.99
1,0.03,0.01,0.1,0.65,0.52,0.03,0.69,0.38,0.16,0.99
1,0.03,0.01,0.1,0.65,0.52,0.03,0.69,0.38,0.16,0.99
1,0.03,0.01,0.1,0.65,0.52,0.03,0.69,0.38,0.16,0.99
1,0.03,0.01,0.1,0.65,0.52,0.03,0.69,0.38,0.16,0.99
1,0.03,0.01,0.1,0.65,0.52,0.03,0.69,0.38,0.16,0.99
1,0.03,0.01,0.1,0.65,0.52,0.03,0.69,0.38,0.16,0.99
1,0.03,0.01,0.1,0.65,0.52,0.03,0.69,0.38,0.16,0.99
1,0.03,0.01,0.1,0.65,0.52,0.03,0.69,0.38,0.16,0.99
1,0.03,0.01,0.1,0.65,0.52,0.03,0.69,0.38,0.16,0.99
1,0.04,0.02,0.17,0.62,0.65,0.15,0.49,0.33,0.14,0.93
1,0.04,0.02,0.17,0.62,0.65,0.15,0.49,0.33,0.14,0.93
1,0.04,0.02,0.17,0.62,0.65,0.15,0.49,0.33,0.14,0.93
1,0.04,0.02,0.17,0.62,0.65,0.15,0.49,0.33,0.14,0.93
1,0.04,0.02,0.17,0.62,0.65,0.15,0.49,0.33,0.14,0.93
1,0.04,0.02,0.17,0.62,0.65,0.15,0.49,0.33,0.14,0.93
1,0.04,0.02,0.17,0.62,0.65,0.15,0.49,0.33,0.14,0.93
1,0.04,0.02,0.17,0.62,0.65,0.15,0.49,0.33,0.14,0.93
1,0.04,0.02,0.17,0.62,0.65,0.15,0.49,0.33,0.14,0.93
1,0.04,0.02,0.17,0.62,0.65,0.15,0.49,0.33,0.14,0.93
1,0.04,0.02,0.17,0.62,0.65,0.15,0.49,0.33,0.14,0.93
1,0.04,0.02,0.17,0.62,0.65,0.15,0.49,0.33,0.14,0.93
1,0.96,0.16,0.11,0.71,0.73,0.08,0.77,0.31,0.12,0.96
1,0.96,0.16,0.11,0.71,0.73,0.08,0.77,0.31,0.12,0.96
1,0.96,0.16,0.11,0.71,0.73,0.08,0.77,0.31,0.12,0.96
1,0.96,0.16,0.11,0.71,0.73,0.08,0.77,0.31,0.12,0.96
1,0.96,0.16,0.11,0.71,0.73,0.08,0.77,0.31,0.12,0.96
1,0.96,0.16,0.11,0.71,0.73,0.08,0.77,0.31,0.12,0.96
1,0.96,0.16,0.11,0.71,0.73,0.08,0.77,0.31,0.12,0.96
1,0.96,0.16,0.11,0.71,0.73,0.08,0.77,0.31,0.12,0.96
1,0.96,0.16,0.11,0.71,0.73,0.08,0.77,0.31,0.12,0.96
1,0.96,0.16,0.11,0.71,0.73,0.08,0.77,0.31,0.12,0.96
1,0.96,0.16,0.11,0.71,0.73,0.08,0.77,0.31,0.12,0.96
1,0.96,0.16,0.11,0.71,0.73,0.08,0.77,0.31,0.12,0.96
1,0.68,0.46,0.13,0.46,0.44,0.03,0.76,0.3,0.17,0.96
1,0.68,0.46,0.13,0.46,0.44,0.03,0.76,0.3,0.17,0.96
1,0.68,0.46,0.13,0.46,0.44,0.03,0.76,0.3,0.17,0.96
1,0.68,0.46,0.13,0.46,0.44,0.03,0.76,0.3,0.17,0.96
1,0.68,0.46,0.13,0.46,0.44,0.03,0.76,0.3,0.17,0.96
1,0.68,0.46,0.13,0.46,0.44,0.03,0.76,0.3,0.17,0.96
1,0.68,0.46,0.13,0.46,0.44,0.03,0.76,0.3,0.17,0.96
1,0.68,0.46,0.13,0.46,0.44,0.03,0.76,0.3,0.17,0.96
1,0.68,0.46,0.13,0.46,0.44,0.03,0.76,0.3,0.17,0.96
1,0.68,0.46,0.13,0.46,0.44,0.03,0.76,0.3,0.17,0.96
1,0.68,0.46,0.13,0.46,0.44,0.03,0.76,0.3,0.17,0.96
1,0.68,0.46,0.13,0.46,0.44,0.03,0.76,0.3,0.17,0.96
1,0.72,0.45,0.09,0.6,0.83,0.04,0.46,0.34,0.09,0.95
1,0.72,0.45,0.09,0.6,0.83,0.04,0.46,0.34,0.09,0.95
1,0.72,0.45,0.09,0.6,0.83,0.04,0.46,0.34,0.09,0.95
1,0.72,0.45,0.09,0.6,0.83,0.04,0.46,0.34,0.09,0.95
1,0.72,0.45,0.09,0.6,0.83,0.04,0.46,0.34,0.09,0.95
1,0.72,0.45,0.09,0.6,0.83,0.04,0.46,0.34,0.09,0.95
1,0.72,0.45,0.09,0.6,0.83,0.04,0.46,0.34,0.09,0.95
1,0.72,0.45,0.09,0.6,0.83,0.04,0.46,0.34,0.09,0.95
1,0.72,0.45,0.09,0.6,0.83,0.04,0.46,0.34,0.09,0.95
1,0.72,0.45,0.09,0.6,0.83,0.04,0.46,0.34,0.09,0.95
1,0.72,0.45,0.09,0.6,0.83,0.04,0.46,0.34,0.09,0.95
1,0.72,0.45,0.09,0.6,0.83,0.04,0.46,0.34,0.09,0.95
2,0.12,0.31,0.13,0.61,0.51,0.16,0.55,0.33,0.21,0.96
2,0.12,0.31,0.13,0.61,0.51,0.16,0.55,0.33,0.21,0.96
2,0.12,0.31,0.13,0.61,0.51,0.16,0.55,0.33,0.21,0.96
2,0.12,0.31,0.13,0.61,0.51,0.16,0.55,0.33,0.21,0.96
2,0.12,0.31,0.13,0.61,0.51,0.16,0.55,0.33,0.21,0.96
2,0.12,0.31,0.13,0.61,0.51,0.16,0.55,0.33,0.21,0.96
2,0.12,0.31,0.13,0.61,0.51,0.16,0.55,0.33,0.21,0.96
2,0.12,0.31,0.13,0.61,0.51,0.16,0.55,0.33,0.21,0.96
2,0.12,0.31,0.13,0.61,0.51,0.16,0.55,0.33,0.21,0.96
2,0.12,0.31,0.13,0.61,0.51,0.16,0.55,0.33,0.21,0.96
2,0.12,0.31,0.13,0.61,0.51,0.16,0.55,0.33,0.21,0.96
2,0.12,0.31,0.13,0.61,0.51,0.16,0.55,0.33,0.21,0.96
2,0.07,0.17,0.19,0.67,0.71,0.11,0.84,0.3,0.17,0.97
2,0.07,0.17,0.19,0.67,0.71,0.11,0.84,0.3,0.17,0.97
2,0.07,0.17,0.19,0.67,0.71,0.11,0.84,0.3,0.17,0.97
2,0.07,0.17,0.19,0.67,0.71,0.11,0.84,0.3,0.17,0.97
2,0.07,0.17,0.19,0.67,0.71,0.11,0.84,0.3,0.17,0.97
2,0.07,0.17,0.19,0.67,0.71,0.11,0.84,0.3,0.17,0.97
2,0.07,0.17,0.19,0.67,0.71,0.11,0.84,0.3,0.17,0.97
2,0.07,0.17,0.19,0.67,0.71,0.11,0.84,0.3,0.17,0.97
2,0.07,0.17,0.19,0.67,0.71,0.11,0.84,0.3,0.17,0.97
2,0.07,0.17,0.19,0.67,0.71,0.11,0.84,0.3,0.17,0.97
2,0.07,0.17,0.19,0.67,0.71,0.11,0.84,0.3,0.17,0.97
2,0.07,0.17,0.19,0.67,0.71,0.11,0.84,0.3,0.17,0.97
2,0.05,0.12,0.15,0.72,0.72,0.12,0.63,0.42,0.12,0.97
2,0.05,0.12,0.15,0.72,0.72,0.12,0.63,0.42,0.12,0.97
2,0.05,0.12,0.15,0.72,0.72,0.12,0.63,0.42,0.12,0.97
2,0.05,0.12,0.15,0.72,0.72,0.12,0.63,0.42,0.12,0.97
2,0.05,0.12,0.15,0.72,0.72,0.12,0.63,0.42,0.12,0.97
2,0.05,0.12,0.15,0.72,0.72,0.12,0.63,0.42,0.12,0.97
2,0.05,0.12,0.15,0.72,0.72,0.12,0.63,0.42,0.12,0.97
2,0.05,0.12,0.15,0.72,0.72,0.12,0.63,0.42,0.12,0.97
2,0.05,0.12,0.15,0.72,0.72,0.12,0.63,0.42,0.12,0.97
2,0.05,0.12,0.15,0.72,0.72,0.12,0.63,0.42,0.12,0.97
2,0.05,0.12,0.15,0.72,0.72,0.12,0.63,0.42,0.12,0.97
2,0.05,0.12,0.15,0.72,0.72,0.12,0.63,0.42,0.12,0.97
2,0.88,0.25,0.14,0.53,0.72,0.1,0.75,0.3,0.15,0.97
2,0.88,0.25,0.14,0.53,0.72,0.1,0.75,0.3,0.15,0.97
2,0.88,0.25,0.14,0.53,0.72,0.1,0.75,0.3,0.15,0.97
2,0.88,0.25,0.14,0.53,0.72,0.1,0.75,0.3,0.15,0.97
2,0.88,0.25,0.14,0.53,0.72,0.1,0.75,0.3,0.15,0.97
2,0.88,0.25,0.14,0.53,0.72,0.1,0.75,0.3,0.15,0.97
2,0.88,0.25,0.14,0.53,0.72,0.1,0.75,0.3,0.15,0.97
2,0.88,0.25,0.14,0.53,0.72,0.1,0.75,0.3,0.15,0.97
2,0.88,0.25,0.14,0.53,0.72,0.1,0.75,0.3,0.15,0.97
2,0.88,0.25,0.14,0.53,0.72,0.1,0.75,0.3,0.15,0.97
2,0.88,0.25,0.14,0.53,0.72,0.1,0.75,0.3,0.15,0.97
2,0.88,0.25,0.14,0.53,0.72,0.1,0.75,0.3,0.15,0.97
2,0.47,0.49,0.17,0.54,0.7,0.09,0.67,0.36,0.14,0.97
2,0.47,0.49,0.17,0.54,0.7,0.09,0.67,0.36,0.14,0.97
2,0.47,0.49,0.17,0.54,0.7,0.09,0.67,0.36,0.14,0.97
2,0.47,0.49,0.17,0.54,0.7,0.09,0.67,0.36,0.14,0.97
2,0.47,0.49,0.17,0.54,0.7,0.09,0.67,0.36,0.14,0.97
2,0.47,0.49,0.17,0.54,0.7,0.09,0.67,0.36,0.14,0.97
2,0.47,0.49,0.17,0.54,0.7,0.09,0.67,0.36,0.14,0.97
2,0.47,0.49,0.17,0.54,0.7,0.09,0.67,0.36,0.14,0.97
2,0.47,0.49,0.17,0.54,0.7,0.09,0.67,0.36,0.14,0.97
2,0.47,0.49,0.17,0.54,0.7,0.09,0.67,0.36,0.14,0.97
2,0.47,0.49,0.17,0.54,0.7,0.09,0.67,0.36,0.14,0.97
2,0.47,0.49,0.17,0.54,0.7,0.09,0.67,0.36,0.14,0.97
2,0.03,0.1,0.12,0.76,0.69,0.08,0.68,0.34,0.14,0.97
2,0.03,0.1,0.12,0.76,0.69,0.08,0.68,0.34,0.14,0.97
2,0.03,0.1,0.12,0.76,0.69,0.08,0.68,0.34,0.14,0.97
2,0.03,0.1,0.12,0.76,0.69,0.08,0.68,0.34,0.14,0.97
2,0.03,0.1,0.12,0.76,0.69,0.08,0.68,0.34,0.14,0.97
2,0.03,0.1,0.12,0.76,0.69,0.08,0.68,0.34,0.14,0.97
2,0.03,0.1,0.12,0.76,0.69,0.08,0.68,0.34,0.14,0.97
2,0.03,0.1,0.12,0.76,0.69,0.08,0.68,0.34,0.14,0.97
2,0.03,0.1,0.12,0.76,0.69,0.08,0.68,0.34,0.14,0.97
2,0.03,0.1,0.12,0.76,0.69,0.08,0.68,0.34,0.14,0.97
2,0.03,0.1,0.12,0.76,0.69,0.08,0.68,0.34,0.14,0.97
2,0.03,0.1,0.12,0.76,0.69,0.08,0.68,0.34,0.14,0.97
2,0.05,0.1,0.15,0.61,0.57,0.14,0.76,0.34,0.18,0.96
2,0.05,0.1,0.15,0.61,0.57,0.14,0.76,0.34,0.18,0.96
2,0.05,0.1,0.15,0.61,0.57,0.14,0.76,0.34,0.18,0.96
2,0.05,0.1,0.15,0.61,0.57,0.14,0.76,0.34,0.18,0.96
2,0.05,0.1,0.15,0.61,0.57,0.14,0.76,0.34,0.18,0.96
2,0.05,0.1,0.15,0.61,0.57,0.14,0.76,0.34,0.18,0.96
2,0.05,0.1,0.15,0.61,0.57,0.14,0.76,0.34,0.18,0.96
2,0.05,0.1,0.15,0.61,0.57,0.14,0.76,0.34,0.18,0.96
2,0.05,0.1,0.15,0.61,0.57,0.14,0.76,0.34,0.18,0.96
2,0.05,0.1,0.15,0.61,0.57,0.14,0.76,0.34,0.18,0.96
2,0.05,0.1,0.15,0.61,0.57,0.14,0.76,0.34,0.18,0.96
2,0.05,0.1,0.15,0.61,0.57,0.14,0.76,0.34,0.18,0.96
2,0.04,0.11,0.17,0.64,0.67,0.14,0.91,0.18,0.23,0.91
2,0.04,0.11,0.17,0.64,0.67,0.14,0.91,0.18,0.23,0.91
2,0.04,0.11,0.17,0.64,0.67,0.14,0.91,0.18,0.23,0.91
2,0.04,0.11,0.17,0.64,0.67,0.14,0.91,0.18,0.23,0.91
2,0.04,0.11,0.17,0.64,0.67,0.14,0.91,0.18,0.23,0.91
2,0.04,0.11,0.17,0.64,0.67,0.14,0.91,0.18,0.23,0.91
2,0.04,0.11,0.17,0.64,0.67,0.14,0.91,0.18,0.23,0.91
2,0.04,0.11,0.17,0.64,0.67,0.14,0.91,0.18,0.23,0.91
2,0.04,0.11,0.17,0.64,0.67,0.14,0.91,0.18,0.23,0.91
2,0.04,0.11,0.17,0.64,0.67,0.14,0.91,0.18,0.23,0.91
2,0.04,0.11,0.17,0.64,0.67,0.14,0.91,0.18,0.23,0.91
2,0.04,0.11,0.17,0.64,0.67,0.14,0.91,0.18,0.23,0.91
2,0.32,0.44,0.17,0.37,0.59,0.04,0.8,0.18,0.11,0.95
2,0.32,0.44,0.17,0.37,0.59,0.04,0.8,0.18,0.11,0.95
2,0.32,0.44,0.17,0.37,0.59,0.04,0.8,0.18,0.11,0.95
2,0.32,0.44,0.17,0.37,0.59,0.04,0.8,0.18,0.11,0.95
2,0.32,0.44,0.17,0.37,0.59,0.04,0.8,0.18,0.11,0.95
2,0.32,0.44,0.17,0.37,0.59,0.04,0.8,0.18,0.11,0.95
2,0.32,0.44,0.17,0.37,0.59,0.04,0.8,0.18,0.11,0.95
2,0.32,0.44,0.17,0.37,0.59,0.04,0.8,0.18,0.11,0.95
2,0.32,0.44,0.17,0.37,0.59,0.04,0.8,0.18,0.11,0.95
2,0.32,0.44,0.17,0.37,0.59,0.04,0.8,0.18,0.11,0.95
2,0.32,0.44,0.17,0.37,0.59,0.04,0.8,0.18,0.11,0.95
2,0.32,0.44,0.17,0.37,0.59,0.04,0.8,0.18,0.11,0.95
2,0.06,0.13,0.1,0.63,0.59,0.18,0.81,0.23,0.13,0.93
2,0.06,0.13,0.1,0.63,0.59,0.18,0.81,0.23,0.13,0.93
2,0.06,0.13,0.1,0.63,0.59,0.18,0.81,0.23,0.13,0.93
2,0.06,0.13,0.1,0.63,0.59,0.18,0.81,0.23,0.13,0.93
2,0.06,0.13,0.1,0.63,0.59,0.18,0.81,0.23,0.13,0.93
2,0.06,0.13,0.1,0.63,0.59,0.18,0.81,0.23,0.13,0.93
2,0.06,0.13,0.1,0.63,0.59,0.18,0.81,0.23,0.13,0.93
2,0.06,0.13,0.1,0.63,0.59,0.18,0.81,0.23,0.13,0.93
2,0.06,0.13,0.1,0.63,0.59,0.18,0.81,0.23,0.13,0.93
2,0.06,0.13,0.1,0.63,0.59,0.18,0.81,0.23,0.13,0.93
2,0.06,0.13,0.1,0.63,0.59,0.18,0.81,0.23,0.13,0.93
2,0.06,0.13,0.1,0.63,0.59,0.18,0.81,0.23,0.13,0.93
2,0.04,0.01,0.14,0.8,0.61,0.11,0.62,0.35,0.1,0.95
2,0.04,0.01,0.14,0.8,0.61,0.11,0.62,0.35,0.1,0.95
2,0.04,0.01,0.14,0.8,0.61,0.11,0.62,0.35,0.1,0.95
2,0.04,0.01,0.14,0.8,0.61,0.11,0.62,0.35,0.1,0.95
2,0.04,0.01,0.14,0.8,0.61,0.11,0.62,0.35,0.1,0.95
2,0.04,0.01,0.14,0.8,0.61,0.11,0.62,0.35,0.1,0.95
2,0.04,0.01,0.14,0.8,0.61,0.11,0.62,0.35,0.1,0.95
2,0.04,0.01,0.14,0.8,0.61,0.11,0.62,0.35,0.1,0.95
2,0.04,0.01,0.14,0.8,0.61,0.11,0.62,0.35,0.1,0.95
2,0.04,0.01,0.14,0.8,0.61,0.11,0.62,0.35,0.1,0.95
2,0.04,0.01,0.14,0.8,0.61,0.11,0.62,0.35,0.1,0.95
2,0.04,0.01,0.14,0.8,0.61,0.11,0.62,0.35,0.1,0.95
2,0.97,0.06,0.08,0.59,0.75,0.08,0.7,0.35,0.11,0.98
2,0.97,0.06,0.08,0.59,0.75,0.08,0.7,0.35,0.11,0.98
2,0.97,0.06,0.08,0.59,0.75,0.08,0.7,0.35,0.11,0.98
2,0.97,0.06,0.08,0.59,0.75,0.08,0.7,0.35,0.11,0.98
2,0.97,0.06,0.08,0.59,0.75,0.08,0.7,0.35,0.11,0.98
2,0.97,0.06,0.08,0.59,0.75,0.08,0.7,0.35,0.11,0.98
2,0.97,0.06,0.08,0.59,0.75,0.08,0.7,0.35,0.11,0.98
2,0.97,0.06,0.08,0.59,0.75,0.08,0.7,0.35,0.11,0.98
2,0.97,0.06,0.08,0.59,0.75,0.08,0.7,0.35,0.11,0.98
2,0.97,0.06,0.08,0.59,0.75,0.08,0.7,0.35,0.11,0.98
2,0.97,0.06,0.08,0.59,0.75,0.08,0.7,0.35,0.11,0.98
2,0.97,0.06,0.08,0.59,0.75,0.08,0.7,0.35,0.11,0.98
2,0.87,0.26,0.11,0.27,0.49,0.08,0.56,0.25,0.13,0.96
2,0.87,0.26,0.11,0.27,0.49,0.08,0.56,0.25,0.13,0.96
2,0.87,0.26,0.11,0.27,0.49,0.08,0.56,0.25,0.13,0.96
2,0.87,0.26,0.11,0.27,0.49,0.08,0.56,0.25,0.13,0.96
2,0.87,0.26,0.11,0.27,0.49,0.08,0.56,0.25,0.13,0.96
2,0.87,0.26,0.11,0.27,0.49,0.08,0.56,0.25,0.13,0.96
2,0.87,0.26,0.11,0.27,0.49,0.08,0.56,0.25,0.13,0.96
2,0.87,0.26,0.11,0.27,0.49,0.08,0.56,0.25,0.13,0.96
2,0.87,0.26,0.11,0.27,0.49,0.08,0.56,0.25,0.13,0.96
2,0.87,0.26,0.11,0.27,0.49,0.08,0.56,0.25,0.13,0.96
2,0.87,0.26,0.11,0.27,0.49,0.08,0.56,0.25,0.13,0.96
2,0.87,0.26,0.11,0.27,0.49,0.08,0.56,0.25,0.13,0.96
2,0.87,0.26,0.11,0.27,0.49,0.08,0.56,0.25,0.13,0.96
2,0.87,0.26,0.11,0.27,0.49,0.08,0.56,0.25,0.13,0.96
2,0.87,0.26,0.11,0.27,0.49,0.08,0.56,0.25,0.13,0.96
2,0.87,0.26,0.11,0.27,0.49,0.08,0.56,0.25,0.13,0.96
2,0.87,0.26,0.11,0.27,0.49,0.08,0.56,0.25,0.13,0.96
2,0.87,0.26,0.11,0.27,0.49,0.08,0.56,0.25,0.13,0.96
2,0.87,0.26,0.11,0.27,0.49,0.08,0.56,0.25,0.13,0.96
2,0.87,0.26,0.11,0.27,0.49,0.08,0.56,0.25,0.13,0.96
2,0.87,0.26,0.11,0.27,0.49,0.08,0.56,0.25,0.13,0.96
2,0.87,0.26,0.11,0.27,0.49,0.08,0.56,0.25,0.13,0.96
2,0.87,0.26,0.11,0.27,0.49,0.08,0.56,0.25,0.13,0.96
2,0.87,0.26,0.11,0.27,0.49,0.08,0.56,0.25,0.13,0.96
2,0.02,0.04,0.14,0.7,0.68,0.1,0.59,0.38,0.11,0.96
2,0.02,0.04,0.14,0.7,0.68,0.1,0.59,0.38,0.11,0.96
2,0.02,0.04,0.14,0.7,0.68,0.1,0.59,0.38,0.11,0.96
2,0.02,0.04,0.14,0.7,0.68,0.1,0.59,0.38,0.11,0.96
2,0.02,0.04,0.14,0.7,0.68,0.1,0.59,0.38,0.11,0.96
2,0.02,0.04,0.14,0.7,0.68,0.1,0.59,0.38,0.11,0.96
2,0.02,0.04,0.14,0.7,0.68,0.1,0.59,0.38,0.11,0.96
2,0.02,0.04,0.14,0.7,0.68,0.1,0.59,0.38,0.11,0.96
2,0.02,0.04,0.14,0.7,0.68,0.1,0.59,0.38,0.11,0.96
2,0.02,0.04,0.14,0.7,0.68,0.1,0.59,0.38,0.11,0.96
2,0.02,0.04,0.14,0.7,0.68,0.1,0.59,0.38,0.11,0.96
2,0.02,0.04,0.14,0.7,0.68,0.1,0.59,0.38,0.11,0.96
2,0.05,0.09,0.22,0.47,0.22,0.04,0.9,0.2,0.15,0.94
2,0.05,0.09,0.22,0.47,0.22,0.04,0.9,0.2,0.15,0.94
2,0.05,0.09,0.22,0.47,0.22,0.04,0.9,0.2,0.15,0.94
2,0.05,0.09,0.22,0.47,0.22,0.04,0.9,0.2,0.15,0.94
2,0.05,0.09,0.22,0.47,0.22,0.04,0.9,0.2,0.15,0.94
2,0.05,0.09,0.22,0.47,0.22,0.04,0.9,0.2,0.15,0.94
2,0.05,0.09,0.22,0.47,0.22,0.04,0.9,0.2,0.15,0.94
2,0.05,0.09,0.22,0.47,0.22,0.04,0.9,0.2,0.15,0.94
2,0.05,0.09,0.22,0.47,0.22,0.04,0.9,0.2,0.15,0.94
2,0.05,0.09,0.22,0.47,0.22,0.04,0.9,0.2,0.15,0.94
2,0.05,0.09,0.22,0.47,0.22,0.04,0.9,0.2,0.15,0.94
2,0.05,0.09,0.22,0.47,0.22,0.04,0.9,0.2,0.15,0.94
2,0.75,0.13,0.15,0.6,0.39,0.13,0.72,0.4,0.17,0.96
2,0.75,0.13,0.15,0.6,0.39,0.13,0.72,0.4,0.17,0.96
2,0.75,0.13,0.15,0.6,0.39,0.13,0.72,0.4,0.17,0.96
2,0.75,0.13,0.15,0.6,0.39,0.13,0.72,0.4,0.17,0.96
